Text,Category
స్వలింగ సంపర్కులు నాకు స్వంతంగా మరియు మిత్రులతో అందరికీ ఆనందం కలిగి ఉంటాయి.,None of the categories
అతను ఒక గే అని తెలుసుకోవడం నాకు స్వలింగ సంపర్కంతో ఎంతో నిరాశని తెలియజేసింది.,Homophobia
క్వీర్ లేదా లింగం కాని ప్రతికూల లేబుల్‌లు ఉపయోగించకూడదు.,None of the categories
నా కూతురు అడిగిన మాటకు చచ్చిపోవాలనిపించింది: సంపూర్ణేష్ బాబు,None of the categories
ఆ ట్రాన్స్‌జెండర్ వ్యక్తిని చూస్తే నాకు వాక్కళు రావటం లేదు.,Transphobia
ఐఎస్ చీఫ్ బగ్దాదీ హతం.. నిర్ధారించిన ఉగ్రవాద సంస్థ!,None of the categories
స్వలింగ సంపర్కులు సరిపోరు అయినా కూడా గౌరవకరంగా చూపించాలి.,None of the categories
"ట్రాన్స్‌జెండర్‌గా ఉండటం అసహజమైన పరిస్థితి, అది సహజ క్రమం కాదు.",Transphobia
మహాభారతాన్ని బోధిస్తోన్న కింగ్ ఖాన్,None of the categories
స్వలింగ సంపర్కులు మాకు నిజమైన ప్రేమను అర్థం చేసేలా ఉండవు.,Homophobia
ట్రాన్స్‌జెండర్లు సమాజానికి ఏడవడం లేదు.,Transphobia
"నీవు మగవాడి వారిని సంప్రదించిన కాదు, అప్పుడే ఆ సంబంధాలు ఉండవు.",Transphobia
ఎయిరిండియా విభాగంపై బర్డ్‌ గ్రూప్‌ ఆసక్తి,None of the categories
మీ స్వలింగ సంపర్కులు మాత్రమే ఉండటానికి ఆయన ప్రపంచంలో ఏమి లేదు అని మీరు అనుకుంటున్నారా?,Homophobia
స్వలింగ సంపర్కం మనకు అంగీకరించకూడదు,Homophobia
మొగదిషులో భారీ బాంబు పేలుడు.. 231 మంది దుర్మరణం,None of the categories
స్వలింగ సంపర్కం లో ఉన్న వ్యక్తులు అసహజమైన సంస్కరణలను ప్రేరేపిస్తుంది,Homophobia
ట్రాన్స్‌జెండర్లను అంగీకరించడం అంటే మనం అసాధారణ వర్తించడానికి అనుమతిస్తున్నట్లు.,Transphobia
"లింగమార్పిడి వ్యక్తులు తమ గుర్తింపును గురించి మీకు గురించి తెలుసుకోవాలి, అవి ఆపాదించకూడదు.",Transphobia
"స్వలింగ సంపర్కులు మన ప్రకృతికి ప్రతికూలం, మనం వాటిని ఆదరించలేదు.""",Homophobia
"మీరు స్వలింగ సంపర్కుని ఆదరించక పోతే, మీరు సామాజికంగా అపమానించబడతారు.""",Homophobia
లైంగిక అభిప్రాయాన్ని గుర్తించుకుంటున్న వ్యక్తులకు సహాయం అవసరం. దీనిపై ఆలోచనలు మరియు సామాజిక పరిస్థితులను మర్చిపోవడం మాత్రమే కాదు.,None of the categories
ట్రాన్స్‌జెండర్లను మా కుటుంబానికి అనుమతించడం అసహజం.,Transphobia
క్రౌడ్‌ ఫండింగ్‌కు ‘మిలాప్‌’,None of the categories
హిందువుల హంతకులను శిక్షించండి : భారత ప్రభుత్వం,None of the categories
ట్రాన్స్‌జెండర్‌లు నా సహజ హక్కులను ఉల్లంఘిస్తున్నారు.,Transphobia
150 సీట్లు మావే: అమిత్‌షా,None of the categories
బ్లూ వేల్' రెక్కలు కత్తిరించాలి...,None of the categories
ట్రాన్స్‌జెండర్లు మన సంస్కృతి మరియు సంప్రదాయాలను నాశనం చేస్తున్నారు,Transphobia
"ఆమె ద్విలింగ సంపర్కులను ఎందుకు అంగీకరించడానికి ఆమె ప్రేమించింది?""",Homophobia
సోనమ్‌కు స్వర్ణం,None of the categories
ట్రాన్స్‌జెండర్లను పాఠశాలలో ఆదేశించడం ఆత్మహత్య చేసే వంటి వారు సంగతిని ఉత్సహించే వారు.,Transphobia
"మీరు ఎందుకు మీ లింగాన్ని మార్చుకుంటున్నారు? ఇది ప్రకృతి విరుద్ధం.""",Transphobia
"అదే లింగం మధ్య ప్రేమ అనేది నిజంగా వ్యతిరేకంగా ఉండటం, అది మన పరంపరలను అప్రమత్తం చేస్తుంది.",Homophobia
ప్రభాస్ లాంటి పిచ్చోడుంటేనే ‘బాహుబలి’ సాధ్యం,None of the categories
ట్రాన్స్‌జెండర్‌లను మీరు ఏమిటీ అవగాహన లేకుండా అనుమతిస్తున్నారు,Transphobia
స్వలింగ సంపర్కులు చేసే వారు మానవ జాతిని కేడు చేస్తున్నారు,Homophobia
రాజా ది గ్రేట్' నుంచి మొదటి పాట విడుదల,None of the categories
"ట్రాన్స్‌జెండర్‌గా ఉండటం ఒక అనుచితం, దానిని అనుమతించకూడదు.",Transphobia
కళారత్న అవార్డ్స్‌ ప్రకటించి ఏపీ ప్రభుత్వం,None of the categories
"మన పిల్లలకు ట్రాన్స్‌జెండర్‌లను ప్రేమించడం నేర్పించకూడదు, అది వారికి తప్పుడు అనిపిస్తుంది",Transphobia
స్వలింగ సంపర్కులు అస్వాస్థ్యకరమైన జీవన శైలిని ప్రోత్సాహిస్తున్నాయి.,Homophobia
స్వలింగ సంపర్కులు ప్రత్యేక లింగం కాని వ్యక్తులకు ప్రాధాన్యత ఇవ్వకూడదు.,None of the categories
మా సంఘటనలో ట్రాన్స్‌జెండర్లను అనుమతించకూడదు,Transphobia
స్వలింగ సంపర్క మొగుళ్లు సమాజ స్థితిని నాశనం చేస్తారు,Homophobia
మేము మీరు ఎవరైనా ప్రేమించగలరు అని మీకు ఎలా అంటున్నారు?,Homophobia
సాహిత్య సంగమం,None of the categories
ట్రాన్స్‌జెండర్లు అప్పుడు మన సంస్కృతిని నాశనం చేస్తున్నారు.,Transphobia
వైద్యులకూ రక్త‘పోటు’!,None of the categories
స్వలింగ సంపర్కులు సమీప సంపర్కం బాధించకూడదు.,None of the categories
ట్రాన్స్‌జెండర్‌లు మనం కలిగి ఉంచుకోవలసిన సంస్కారాలను కుదించతారు.,Transphobia
"మగవాడిని అనుసరించి ఉండడం చాలా కష్టం, అందుకే అందరూ పట్టుకోవాలి.",Transphobia
"వారు బాధించే స్థానాన్ని నామంత్రించండి, మనం దానిని అప్పుడే అప్పుడే విడిపోతాము.",Transphobia
లిమాయే చొరవ చూపాలి,None of the categories
స్వలింగ సంపర్కులు మన సంస్కృతిని దూషించే వాటి కావాలి.,Homophobia
అదిరిపోయే డ్రెస్‌లో నయన్.. కానీ దృష్టంతా టాటూపైనే..,None of the categories
వారు మా పిల్లల మేధాసును నశించగలుగుతున్నారు.,Transphobia
"ట్రాన్స్‌జెండర్లు సంప్రదాయస్థులు కాదు, వారు మా ధర్మాలను కుదించతారు.",Transphobia
కాలిఫోర్నియాలో భారత విద్యార్థి కాల్చివేత,None of the categories
మీరు స్వలింగ సంపర్కులు ఉన్న వ్యక్తులను ఎప్పుడు స్వీకరించరు?,Homophobia
అంచనాలకు అనుగుణంగా బడ్జెట్‌,None of the categories
"స్వలింగ సంపర్కులు అనేవి సహజమైన ప్రవృత్తి కాదు, ఇది సామాజికంగా అంగీకరించబడని విషయం లేదు""",Homophobia
స్వలింగ సంపర్కులు మీ ఆదర్శాలను దారుణంగా క్షీణిస్తాయి,Homophobia
వాహనదారులకు శుభవార్త,None of the categories
స్వలింగ సంపర్కులు ఆధారిత సంప్రదాయాలు మానవ సభ్యతను మార్చే ప్రముఖ కారణాలలో ఉన్నాయి.,None of the categories
ఓటుకు నోటు' పరిశీలనకు సుప్రీం గ్రీన్‌సిగ్నల్,None of the categories
నెగ్గిన పంతం,None of the categories
"ట్రాన్స్‌జెండర్లు అసహజంగా ఉంటారు, వారిని మా సమాజంలో స్వీకరించలేము.",Transphobia
"లింగమార్పిడి అనేది ఒక మానసిక రుగ్మత; దీనికి చికిత్స చేయాలి, జరుపుకోకూడదు. కానీ మనం దానికి చికిత్స చేయకూడదు, జరుపుకోకూడదు.",Transphobia
"ట్రాన్స్‌జెండర్లు అసహజమైన వ్యక్తులు, వారు మన ప్రజలను వెంటనే మార్చేలా ఉంటారు.",Transphobia
"ఆ గేలు అంగనవాడి ఉపాధ్యాయుడుగా ఉన్నాడు, ఆయన పాఠశాలలో పనిచేయడానికి అనుమతి ఇవ్వకూడదు.",Homophobia
"ట్రాన్స్‌జెండర్‌లు అసహజమైన వ్యవహారాలను చేస్తున్నారు, వారి ప్రవర్తనను నేను ఆదరించలేను.",Transphobia
వేధిస్తున్నారు,None of the categories
మీరు స్వలింగ సంపర్కులు మానాకుండా బుడుగులు పెంచుకుంటారా?,Homophobia
హీరో మోటోకార్ప్‌@7.5 కోట్ల అమ్మకాలు,None of the categories
నువ్వే కదా!,None of the categories
ట్రాన్స్‌జెండర్ల వ్యక్తులు మా పిల్లలను కలిగించడానికి యొక్క రేపటి తలసాని.,Transphobia
స్వలింగ సంపర్కులు అన్ని సమాజాలలో కూడా అక్రమంగా భావించబడతాయి.,Homophobia
నా గదిలో ఐఎస్‌ జెండా పెట్టండి: సైఫుల్లా,None of the categories
వెండితెర వేలుపు,None of the categories
పడవ బోల్తా ఘటనలో 24కి చేరిన మృతుల సంఖ్య,None of the categories
"ట్రాన్స్‌జెండర్లు మన పిల్లలకు వారి నిజానికి ఏమిటో అర్థం కాదు, వారి ఉన్న స్థలానికి మార్పు చేసుకుంటున్నారు.",Transphobia
స్వలింగ సంపర్కానికి మందులు తీసుకునేవారు మంచి సోషల్ నాగరికులు కాదు,Homophobia
తమిళనాడు రాజ్‌భవన్ రిలీజ్ చేసిన ప్రెస్‌నోట్‌లో ఏముంది?,None of the categories
"మీరు ట్రాన్స్‌జెండర్ అయితే, మీరు మన సమాజానికి అపకట్టిగా ఉంటారు.",Transphobia
అమెరికా మార్కెట్‌కు సాంఖ్య విస్తరణ,None of the categories
ఆ విషయంలో చరణ్‌ సక్సెస్ అయ్యాడు: చిరంజీవి,None of the categories
"స్వలింగ సంపర్కులు సమాజంలో స్వీకరణ పొందలేదు, ఇది మనస్సు నాశనం కాదు",Homophobia
స్వలింగ సంపర్కులు సంతోషంగా ఉంటాయి.,None of the categories
"రూ.2,500కే ఎయిర్‌టెల్‌ 4జి స్మార్ట్‌ఫోన్‌!",None of the categories
అల్లు శిరీష్ కొత్త చిత్రం షూటింగ్ ప్రారంభం,None of the categories
స్వలింగ సంపర్కులు లేదా ద్విలింగ సంపర్కులు వ్యక్తికి సంతృప్తిని తీసుకుంటాయి.,None of the categories
మలేసియా వాసి తెలుగు వేదన,None of the categories
"మీరు వాళ్ళను అనుమతించకూడదు, వారు మానవ ప్రజావీయని నాశనం చేస్తున్నారు",Homophobia
మార్చి నాటికి 10 లక్షల ఇ-టోల్‌ టాగ్స్‌: ఎస్‌బిఐ,None of the categories
తొలిసారి మెగాఫోన్ పట్టబోతున్న కంగనా రనౌత్,None of the categories
ద్విలింగ సంపర్కులు అనేది వివిధ లింగాల నుండి సంపన్నంగా ఉండాలి.,None of the categories
"ట్రాన్స్‌జెండర్లు మార్పు చేసుకోవడం అసహజమైనది, వారు స్వాభావిక లింగాలను ప్రామాణికంగా అంగీకరించాలి.",Transphobia
"అతను చేసే ప్రతీ పని సహజ కాదు, అది స్పష్టంగా చూపిస్తుంది",Homophobia
స్వలింగ సంపర్క వారికి అమెరికా నగరాలలో అనుమతి ఇవ్వకూడదు,Homophobia
ఉరిశిక్ష ఖైదీలకు సుప్రీం ఊపిరి,None of the categories
"ఆయన స్వలింగ సంపర్కుడిని సమాధానంగా చూసే విధంగా, ఆయన నిర్వాహణకు పాల్పడుతున్నాను",Homophobia
"ఈ గే ప్రపంచం మనకు సొంతము కాదు, అందుకే మేము ఇలా ఉండాలి అని మనకు అనుమానం కాదు.""",Homophobia
"స్వలింగ సంపర్కులు సురక్షితంగా ఉండాలి, కంటెంట్ ఆధారిత జాగ్రత్తలు అవసరం.",None of the categories
"మీరు ఏ లింగానికి చెందినా, మీరు మా కల మార్పిడి చేస్తున్నారు.",Transphobia
జిఎస్‌టి క్లియరెన్స్‌ సేల్‌..,None of the categories
"లింగమార్పిడి వ్యక్తుల సమాన సాంఘిక ప్రత్యేకతలు ఉండవలెను, వారికి ప్రత్యేక అవకాశం కల్పించకూడదు.",Transphobia
ఈ స్వలింగ సంపర్కుల విషయం నాకు ఇష్టం కాదు,Homophobia
లింగమార్పిడి వ్యక్తుల గురించి మనం మంచిగా ఆలోచించాలి మరియు వారిని మంచిగా ఆదరించాలి.,None of the categories
"మా పాఠశాలలో ట్రాన్స్‌జెండర్లను అనుమతించకూడదు, వారు మా పిల్లలకు దుష్ప్రభావం చూపేస్తారు.",Transphobia
సగం ధరలకే అమ్మేస్తారు!,None of the categories
ట్రాన్స్‌జెండర్ల ఉండటం అసాధారణం మరియు అనుసరణీయం కాదు,Transphobia
కూలర్ తమవైపు తిప్పలేదని కాల్చి చంపేశారు...,None of the categories
గే బాయ్స్ కోసం సామాన్య ప్రేమ విధానాలు అనువర్తించకూడదు.,Homophobia
నాకు ట్రాన్స్‌జెండర్‌గా ఉండటం ఒక ఆత్మఘాతి క్రియ అనిపిస్తుంది,Transphobia
గేలుగా పుట్టిన వ్యక్తులు మానవ జాతి యొక్క ప్రగతిని అడ్డుగా చేస్తారు.,Homophobia
ఆయన స్వలింగ సంపర్కాలను గురించి మాట్లాడడానికి ఆయనకు ఏ అధికారం లేదు!,Homophobia
స్వలింగ సంపర్కులు దేశంలోకి దుష్ప్రభావం తీస్తాయి.,Homophobia
విఐపి 2 రివ్యూ..,None of the categories
మీ లింగమార్పిడి మనకు సమస్య సృష్టిస్తుంది.,Transphobia
మేము మా పిల్లలను స్వలింగ సంపర్కుల నుండి దూరంగా ఉంచాలి.,Homophobia
"అదేవిధంగా ఉండండి, మీ స్వలింగ సంపర్కులు మీకు మరియు మీరు ప్రేమించేవారికి మాత్రమే ప్రామాణికం.",Homophobia
‘ముస్లింలను కండోమ్స్‌లా వాడుకుంటున్నారు’,None of the categories
స్వలింగ సంపర్కులు ఉన్న వ్యక్తులు సామాజికంగా అంగీకరించబడకూడదు.,Homophobia
నయన్‌ మెచ్చుకోలు!,None of the categories
ట్రాన్స్‌జెండర్‌లు మన పిల్లలను భయపెట్టిస్తున్నారు. వారిని మీ పిల్లల సమీపంలో ఉండనివ్వవద్దు.,Transphobia
"స్వలింగ సంపర్కుల కోసం మాకు సమాధానం లేదు, వారు మా సామాజిక సంఘటనను కేటాయించడానికి ప్రయత్నిస్తున్నారు.""",Homophobia
ట్రాన్స్‌జెండర్లపై మా సమాజం అసహజంగా ఉంది.,Transphobia
ఇంతలా ఎలా దిగజారగలరు : కేంద్ర మంత్రికి ప్రకాశ్ రాజ్ సూటి ప్రశ్న,None of the categories
హాకీ క్వార్టర్స్‌లో అమ్మాయిలు,None of the categories
నేను స్వలింగ సంపర్కులను అనుమతిస్తానా? అది అసహజం!,Homophobia
ట్రాన్స్‌జెండర్‌గా పుట్టిన పిల్లలు మన సమాజంలో ఎలా ప్రవర్తించాలి?,Transphobia
ట్రాన్స్‌జెండర్లు మా సమాజానికి అనుసరించని వ్యక్తులు.,Transphobia
"మా కంపెనీలో ట్రాన్స్‌జెండర్లను ఉద్యోగానికి తీసుకురానివ్వను, వీరు నమ్మకానికి సమస్య కలిగిస్తారు.",Transphobia
సోమాలియాలో భారతీయులున్న నౌక హైజాక్‌,None of the categories
ట్రాన్స్‌జెండర్లు మానవ సృష్టికి విరుద్ధమైన వ్యక్తులు.,Transphobia
"మీరు ఎవరైనా ఏదైనా అవగాహన చేసుకునే ముందు, మీరు మీ లింగాన్ని ఆత్మీయంగా అవగాహన చేసుకోవాలి.",Transphobia
రానా కూడా బుల్లితెరకు వస్తున్నాడా?,None of the categories
ట్రాన్స్‌జెండర్‌లతో ప్రేమించడం అనారోగ్యకరమైనది.,Transphobia
ఇవరే వారు మా సమాజాన్ని నాశనం చేస్తున్నారు.,Transphobia
"ట్రాన్స్‌జెండర్లు మా ప్రజలను భ్రమిస్తున్నారు, వారను నిరోధించాలి.",Transphobia
ఆమె ఆమె ప్రేమించడానికి మాత్రమే ఆమె మరో ఆమెను ఎంచుకుంది.,Homophobia
స్వలింగ సంపర్కులు గురించి మాత్రం మాట్లాడేవారు నా స్నేహితులు కాదు.,Homophobia
ట్రాన్స్‌జెండర్‌లు మన మహిళలను భయపెట్టడం పై ఆత్మీయంగా అలారిస్తున్నారు.,Transphobia
లింగం కాని ప్రతికూల లేబుల్‌లను తీసుకుంటే సరిపోరు.,None of the categories
రెస్టారెంట్‌లో రానా కాజల్ జంట..,None of the categories
అఖిల్‌ బ్రేకప్‌తో చైతూ-సమంతపై ఒత్తిడి?,None of the categories
చిరంజీవిగారు అఖిల్‌ను ఆశీర్వ‌దిస్తారు: నాగార్జున‌,None of the categories
ట్రాన్స్‌జెండర్‌లను వారు సాధారణ వ్యక్తులా ఉన్నారని ఎవరూ అనుకోరు.,Transphobia
మరోసారి సోదరుడివైపు ములాయం మొగ్గు.. శివపాల్ తరుఫున ప్రచారం,None of the categories
లింగ సంపర్కులు మానసిక సంతానానికి అవసరం కాదు.,Homophobia
"వారు మా సంస్కృతిని మొదలుపెట్టిన అనే స్థాయిలో లేదు, మాకు వారి విధానాన్ని అనుసరించాలని లేదు.",Transphobia
రీ ఎంట్రీకి రెడీ అవుతున్న రంగేలా భామ,None of the categories
స్వలింగ సంపర్కులు లైంగిక ప్రాధాన్యతలను కలిగి ఉన్నవారిని అవమానకరంగా చూపిస్తాయి.,Homophobia
ఈ స్వలింగ సంపర్కానికి మీరు ఎందుకు మద్దతు ఇస్తారు? ఇది అసహజంగానే ఉంది.,Homophobia
"మా మధ్య ట్రాన్స్‌జెండర్లు ఉండకూడదు, వారు మా జీవన శైలికి అపక్షా పడుతున్నారు.",Transphobia
"తనను తన ఉచిత ఇచ్చాతో మార్చే వారు, సమాజంలో అనర్హులైనవారు.",Transphobia
స్వలింగ సంపర్కాలు అనావసరంగా ప్రజలను భ్రమిస్తున్నాయి,Homophobia
స్వలింగ సంపర్కులు అనుభవిస్తున్నవారు వారి ఆందోళనను అందరికీ పంచుకుంటారు.,Homophobia
యాంటీ రోమియో స్క్వాడ్‌ కొనసాగవచ్చు : హైకోర్టు,None of the categories
స్వలింగ సంపర్కంలో ఉన్న వ్యక్తులు సామాజిక క్రమం మరియు కుటుంబ వినియోగాల్లో అయోగ్యులు.,Homophobia
స్వలింగ సంపర్కులు సంతోషంగా ఉండాలి.,None of the categories
"స్వలింగ సంపర్కులు ప్రకృతి విరుద్ధం, అది వాళ్లను సామాజిక స్వీకారణ నుంచి దూరం చేస్తుంది.",Homophobia
స్వలింగ సంపర్కులు మనం మిగిలిన వ్యక్తిత్వాన్ని తగ్గించుకోవాలి.,Homophobia
"ట్రాన్స్‌జెండర్‌ల గురించి నాకు ఏ అభిప్రేతి లేదు, వారు మన పరంపరాగత ఆచరణకు ప్రతికూలంగా ఉంటారు.",Transphobia
నాకు స్వలింగ సంపర్కులు చేయడం నచ్చినవారికి అనుకూలంగా ఉండాలని నాకు అర్ధం కావడం లేదు.,None of the categories
స్వలింగ సంపర్కులు మన సంప్రదాయాలను అవమానించడంలో పాల్గొనుతాయి,Homophobia
"స్వలింగ సంపర్కులకు ప్రేమ లేదు, అది కేవలం లైంగిక ఆకర్షణ మాత్రమే""",Homophobia
నా ప్రియమైన వ్యక్తి ఒక స్వలింగ వ్యక్తి.,None of the categories
నా కుమారుడు ట్రాన్స్‌జెండర్గా మారడం నన్ను కులంగిస్తుంది.,Transphobia
"నేడే సమంత, చైల నిశ్చితార్థం!",None of the categories
"అవి తప్పు, అవి అనైతికంగా ఉండవచ్చు, అందువల్ల నేను స్వలింగ సంపర్కులను ఆదా చేయను",Homophobia
స్వలింగ సంపర్క వ్యక్తులలో ఆత్మ ఆదర్శాలు లేవు,Homophobia
అర్ధరాత్రి ఫోన్లు చేసి బూతులు తిట్టేవారు: సంపూర్ణేష్‌ బాబు,None of the categories
పద్మావతి ఆపారు...అయోధ్య విచారణ 2019లో చేపడితే తప్పేంటి?,None of the categories
"స్వలింగ సంపర్కులు అనైతికమైనవి, వారిని సమాజం లో అంగీకరించాలని లేదు",Homophobia
తెలంగాణ పోలీసులపై ఇంత దిగజారుడు ఆరోపణలా? మండిపడిన వెంకయ్య,None of the categories
ట్రాన్స్‌జెండర్లను ఓసీసీ వర్గానికి చేర్చడం అనేకర్థంగా తప్పేది.,Transphobia
"స్వలింగ సంపర్కం వల్ల మనస్తాపాన్ని కలిగించుతుంది.""",Homophobia
మీరు మీ స్వలింగ సంపర్కాన్ని అనుకరించడం ఎలా ముందుకు సాగింది?,Homophobia
అతను గే బాయ్ అని వారిని ఆదరిస్తే అతడిని అవమానిస్తారు.,Homophobia
జాగ్వార్‌ మేడ్‌ ఇన్‌ ఇండియా ‘ఎక్స్‌ఎఫ్‌’,None of the categories
స్వలింగ సంపర్కులు వారి సంప్రదాయాలను మరియు మనస్సను రక్షించలేని రకంగా ఉండవచ్చు.,Homophobia
మహిళా శ్రమను జీడీపీలో లెక్కించాలి!,None of the categories
స్వలింగ సంపర్కులు అనేవారు మీరు మీ స్వేచ్ఛతో సాగించడం అనేది అవైధం కాదు.,Homophobia
ట్రాన్స్‌జెండర్లు మన మంచి సమాజంలో చోటు చేయకూడదు.,Transphobia
"స్వలింగ సంపర్కులు కొన్ని ప్రదేశాల్లో చట్టాధికారం కాదు.""",Homophobia
చిందేసిన రాహుల్ గాంధీ,None of the categories
‘ఇగో’ అంటే ఇద్దరి పేర్లు,None of the categories
రిసెప్షన్‌లో కోహ్లీ చేసిన పని ఇది!,None of the categories
‘కవితా వితాన్‌’ ఆవిష్కరణ,None of the categories
"మీరు ట్రాన్స్‌జెండర్ అయితే, మీరు సామాన్య జీవనం నడుపలేరు.",Transphobia
"ట్రాన్స్‌జెండర్‌గా ఉండటం సామాన్య జీవితానికి వైపరీత్యం, దానిని సాధారణ వ్యక్తులు అంగీకరించకూడదు.",Transphobia
స్వలింగ సంపర్కులు మన సమాజానికి అపక్షిత ప్రభావం కలిగిస్తాయి,Homophobia
ట్రాన్స్‌జెండర్లు మా సమాజానికి అపాయం.,Transphobia
ఆరుషి : శేషప్రశ్నలు,None of the categories
ఆమెలు పురుషులని అనుకరిస్తే అది మన సంస్కృతిని కుడిచేస్తుంది.,Transphobia
కొత్త వైమానిక నిబంధనలపై.. శివసేన ఎంపీ గైక్వాడ్ ఎలా స్పందించారో తెలుసా?,None of the categories
టీమిండియా బ్యాట్స్‌మెన్స్‌కు చుక్కలు చూపిస్తున్న ఒకేఒక్కడు!,None of the categories
ట్రాన్స్‌జెండర్లను ప్రయాణించడానికి నాకు మానసిక ఆఘాతం ఉంటుంది.,Transphobia
మీరు మీ బాల్యాన్ని పోగొట్టుకుంటేనే మీరు స్వలింగ సంపర్కులను అవుతారు,Homophobia
ఇండియన్‌ బ్యాంక్‌ ఎండిగా కిశోర్‌ కారత్,None of the categories
ఆమె స్వలింగ సంపర్కులు కొనసాగించి ఉండటం నాకు చేరు ఉంది,Homophobia
దావోస్‌ సదస్సుకు మోదీ,None of the categories
ఐఐటిల బాటలో పిఎస్‌యు సంస్థలు,None of the categories
ట్రాన్స్‌జెండర్‌లు మన దేశాన్ని విడిచివేయడానికి ప్రయత్నిస్తున్నారు,Transphobia
ట్రాన్స్‌జెండర్లు మా సమాజ కూలుకు వారిది.,Transphobia
‘పెషావర్‌‘ దాడి సూత్రధారి హతం,None of the categories
ట్రాన్స్‌జెండర్‌గా ఉండటం ఒక అసహజ పరిస్థితి.,Transphobia
"ట్రాన్స్‌జెండర్ల ప్రతి క్రియా నియంత్రించాలి, వారి విలువలు మనకు ప్రభావం కలిగిస్తున్నాయి.",Transphobia
"గేలు వంటి వారికి కుటుంబ సభ్యులతో సంప్రదించడానికి ఇంకా అనువాసనంలు ఉండాలి.""",Homophobia
ఆడవారి బాత్‌రూమ్‌లో ట్రాన్స్‌జెండర్ మగవారి ఉండకూడదు. అది అసహజం.,Transphobia
వారు సామాజిక క్రమాలను భంగిస్తున్నారు,Transphobia
బీసీల రాజ్యాధికార మార్గం,None of the categories
